Baseline Classifier Results v2
(with RF, XGBoost, hyperparameter tuning)
============================================================

           model  train_acc  val_acc  test_acc  macro_f1  syntax_f1  logic_f1  variable_f1
    SVM (TF-IDF)     0.9925   0.9008    0.9183    0.9278     0.9708    0.9026       0.9099
     LR (TF-IDF)     0.9723   0.8866    0.8942    0.9023     0.9391    0.8805       0.8872
    XGB (TF-IDF)     0.9560   0.8923    0.8880    0.8996     0.9515    0.8697       0.8775
     DT (TF-IDF)     0.8974   0.8073    0.7936    0.8130     0.9010    0.7616       0.7763
     RF (TF-IDF)     0.9442   0.8092    0.7964    0.8128     0.8878    0.7684       0.7821
XGB (structural)     0.7634   0.5862    0.5923    0.5969     0.6136    0.5717       0.6054
SVM (structural)     0.5594   0.5668    0.5815    0.5812     0.5799    0.5652       0.5983
 LR (structural)     0.5519   0.5522    0.5730    0.5715     0.5626    0.5605       0.5915
 RF (structural)     0.7345   0.5555    0.5616    0.5698     0.6009    0.5497       0.5587
 DT (structural)     0.5343   0.5239    0.5281    0.5319     0.5477    0.5380       0.5102

Best model: SVM (TF-IDF)  macro_f1=0.9278
